       Accession     P4     P6     P7    P10     Type
1     SER10-0003  687.0  823.0 1129.0  986.0 Complete
2     SER10-0036   33.0   58.0   59.0   45.0 Complete
3     SER10-0037  392.0  371.0  819.0  509.0 Complete
4     SER10-0065   16.0   20.0   18.0   26.0 Complete
5     SER10-0066  456.0  545.0  958.0  766.0 Complete
6     SER10-0077   74.0  258.0  218.0  338.0 Complete
7     SER10-0085   79.0  209.0  292.0  327.0 Complete
8     SER10-0087  208.0  271.0  686.0  394.0 Complete
9     SER10-0088  100.0  250.0  352.0  251.0 Complete
10    SER10-0089   19.0   25.0   34.0   42.0 Complete
11    SER10-0106   16.0   18.0  612.0  213.0  Partial
12    SER10-0130   63.0  102.0  117.0  127.0 Complete
13    SER10-0188   50.0   79.0  128.0  105.0 Complete
14    SER10-0189  424.0  542.0 1071.0  654.0 Complete
15    SER10-0191  120.0  229.0 1165.0  114.0 Complete
16    SER10-0221   46.0   78.0  120.0  108.0 Complete
17    SER10-0229  371.0  613.0  912.0  555.0 Complete
18    SER10-0230   17.0   16.0   34.0   27.0 Complete
19    SER10-0231   26.0   65.0   59.0   60.0 Complete
20    SER10-0239   57.0  318.0  195.0  218.0 Complete
21    SER10-0241   19.0   23.0   37.0   34.0 Complete
22    SER10-0246   51.0   68.0   94.0   72.0 Complete
23    SER10-0254   32.0   69.0   75.0   68.0 Complete
24    SER10-0255  117.0  806.0 1137.0 1158.0 Complete
25    SER10-0256   18.0   36.0   32.0   41.0 Complete
26    SER10-0257   62.0   93.0  113.0  108.0 Complete
27    SER10-0260  235.0  436.0  744.0  485.0 Complete
28    SER10-0267   71.0  103.0  130.0  111.0 Complete
29    SER10-0268  333.0  705.0 1025.0  830.0 Complete
30    SER10-0280  293.0  435.0  723.0  556.0 Complete
31    SER10-0288   42.0   76.0   83.0   81.0 Complete
32    SER10-0320  286.0  530.0  782.0  631.0 Complete
33    SER10-0326   42.0   51.0  104.0   67.0 Complete
34    SER10-0339  334.0  487.0  828.0  533.0 Complete
35    SER10-0340   57.0   86.0   82.0   84.0 Complete
36    SER10-0349  318.0  290.0  648.0  508.0 Complete
37    SER10-0461  163.0  195.0  310.0  221.0 Complete
38    SER10-0462  723.0  814.0 1466.0  927.0 Complete
39    SER10-0463  446.0  499.0  898.0  632.0 Complete
40    SER10-0469   52.0   81.0  113.0   90.0 Complete
41    SER10-0470  601.0  644.0 1110.0  805.0 Complete
42    SER10-0471  553.0  586.0  966.0  837.0 Complete
43    SER10-0502   64.0   53.0   90.0   83.0 Complete
44    SER10-0507   24.0   44.0   52.0   46.0 Complete
45    SER10-0510   31.0   43.0   42.0   50.0 Complete
46    SER10-0514   28.0   25.0   37.0   50.0 Complete
47    SER10-0516   62.0   55.0   79.0   72.0 Complete
48    SER10-0546  594.0  659.0  925.0  602.0 Complete
49    SER10-0566   49.0   44.0  125.0   79.0 Complete
50    SER10-0609   60.0   22.0   73.0   64.0 Complete
51    SER10-0648   69.0   49.0  137.0  126.0 Complete
52    SER10-0693   29.0   66.0   70.0   41.0 Complete
53    SER10-0709  212.0  445.0  690.0  517.0 Complete
54    SER10-0727   45.0   84.0   89.0   63.0 Complete
55    SER10-0730   49.0   64.0  104.0  116.0 Complete
56    SER10-0773  113.0  385.0  869.0  559.0 Complete
57    SER10-0774  445.0  422.0  868.0  617.0 Complete
58    SER10-0775   19.0   30.0   55.0   53.0 Complete
59    SER10-0785   42.0   46.0   67.0   74.0 Complete
60    SER11-0003   39.0   69.0   99.0   60.0 Complete
61    SER11-0006   30.0   50.0   66.0   53.0 Complete
62    SER11-0012  300.0  310.0  614.0  425.0 Complete
63    SER11-0038  418.0  442.0  811.0  643.0 Complete
64    SER11-0039   46.0   77.0  101.0  100.0 Complete
65    SER11-0040    0.0    5.0    0.0  586.0  Partial
66    SER11-0058 1055.0   73.0  138.0  114.0 Complete
67    SER11-0060  578.0  647.0  253.0  641.0 Complete
