"ID"	"Acc"	"best.pop"
"mtCR.mix-11"	"AY997307.1"	"mtCR.inner"
"mtCR.mix-11"	"SER11-0141"	"mtCR.inner"
"mtCR.mix-3"	"AY997308.1"	"mtCR.sound"
"mtCR.mix-3"	"JN944253.1"	"mtCR.sound"
"mtCR.mix-3"	"JN944254.1"	"mtCR.sound"
"mtCR.mix-3"	"MT380112.1"	"mtCR.sound"
"mtCR.mix-3"	"MT380113.1"	"mtCR.sound"
"mtCR.mix-3"	"MT380116.1"	"mtCR.sound"
"mtCR.mix-3"	"MT380123.1"	"mtCR.sound"
"mtCR.mix-3"	"MT380124.1"	"mtCR.sound"
"mtCR.mix-3"	"SER10-0288"	"mtCR.sound"
"mtCR.mix-3"	"SER10-0349"	"mtCR.sound"
"mtCR.mix-3"	"SER10-0502"	"mtCR.sound"
"mtCR.mix-3"	"SER10-0774"	"mtCR.sound"
"mtCR.mix-3"	"SER11-2196"	"mtCR.sound"
"mtCR.mix-3"	"SER11-2488"	"mtCR.sound"
"mtCR.mix-3"	"SER11-2498"	"mtCR.sound"
"mtCR.mix-3"	"SER12-0198"	"mtCR.sound"
"mtCR.mix-3"	"SER12-0244"	"mtCR.sound"
"mtCR.mix-3"	"SER13-0023"	"mtCR.sound"
"mtCR.mix-3"	"SER13-0057"	"mtCR.sound"
"mtCR.mix-3"	"SER13-0161"	"mtCR.sound"
"mtCR.mix-3"	"SER13-0304"	"mtCR.sound"
"mtCR.mix-3"	"SER14-00205"	"mtCR.sound"
"mtCR.mix-3"	"SER14-00294"	"mtCR.sound"
"mtCR.mix-3"	"SER15-00204"	"mtCR.sound"
"mtCR.mix-3"	"SER15-00383"	"mtCR.sound"
"mtCR.mix-3"	"SER15-00652"	"mtCR.sound"
"mtCR.mix-3"	"SER16-00179"	"mtCR.sound"
"mtCR.mix-3"	"SER16-00337"	"mtCR.sound"
"mtCR.mix-3"	"SER16-00372"	"mtCR.sound"
"mtCR.mix-3"	"SER17-00050"	"mtCR.sound"
"mtCR.mix-3"	"SER17-00238"	"mtCR.sound"
"mtCR.mix-3"	"SER17-00286"	"mtCR.sound"
"mtCR.mix-3"	"SER18-00096"	"mtCR.sound"
"mtCR.mix-3"	"SER18-00241"	"mtCR.sound"
